               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.033717,            0.032513,           0.0043079,              0.8621,              0.6144,             0.70306,             0.42911,            0.035327,            0.030345,           0.0093394,           0.0060079,           0.0060079,           0.0060079
                 118,            0.033912,            0.033245,           0.0042211,             0.83827,             0.60747,             0.67995,             0.43751,             0.03612,            0.031583,           0.0097061,           0.0059516,           0.0059516,           0.0059516
                 119,            0.033623,            0.032833,           0.0041958,             0.80112,             0.63703,             0.70425,             0.43623,             0.03542,            0.030878,            0.009169,           0.0058953,           0.0058953,           0.0058953
                 120,            0.034535,            0.035271,            0.004096,             0.82425,             0.61315,             0.69057,             0.42012,            0.036256,            0.031289,           0.0091501,            0.005839,            0.005839,            0.005839
                 121,            0.033987,            0.033477,           0.0044618,             0.81029,             0.62247,             0.70933,             0.45968,            0.035172,            0.030786,           0.0094889,           0.0057826,           0.0057826,           0.0057826
                 122,            0.033324,            0.032712,           0.0039516,             0.73278,             0.63084,             0.67756,             0.43139,            0.035988,             0.03128,           0.0096429,           0.0057261,           0.0057261,           0.0057261
                 123,            0.033532,            0.033004,           0.0038745,             0.82723,             0.61385,             0.68656,             0.44698,            0.035938,             0.03156,           0.0096106,           0.0056696,           0.0056696,           0.0056696
                 124,            0.032197,            0.031773,           0.0039408,             0.83275,             0.61385,             0.68829,              0.4466,             0.03565,            0.030892,           0.0092497,           0.0056131,           0.0056131,           0.0056131
                 125,            0.033369,            0.033461,           0.0041075,             0.86572,             0.61608,              0.7015,             0.42667,            0.035476,            0.030704,           0.0091422,           0.0055565,           0.0055565,           0.0055565
                 126,            0.032575,              0.0318,           0.0037882,             0.84742,             0.60081,             0.67641,             0.44314,            0.035772,            0.031672,           0.0094076,              0.0055,              0.0055,              0.0055
                 127,            0.033698,            0.032837,           0.0039019,             0.83821,             0.63318,             0.70363,             0.47256,            0.035364,            0.030658,           0.0085389,           0.0054435,           0.0054435,           0.0054435
                 128,            0.032906,            0.032243,           0.0039588,             0.86279,             0.60149,              0.7012,              0.4064,            0.035844,             0.03122,           0.0089535,           0.0053869,           0.0053869,           0.0053869
                 129,            0.033402,            0.032248,           0.0040203,             0.83564,             0.62454,             0.68252,             0.37842,            0.035992,            0.031377,           0.0094008,           0.0053304,           0.0053304,           0.0053304
                 130,            0.033187,            0.034549,           0.0037755,             0.81819,             0.64127,             0.68941,             0.44375,            0.035617,            0.031781,           0.0094088,           0.0052739,           0.0052739,           0.0052739
                 131,            0.031941,             0.03115,           0.0038365,             0.83659,              0.6135,             0.68943,             0.45675,            0.035964,            0.031397,           0.0095641,           0.0052174,           0.0052174,           0.0052174
                 132,            0.033289,            0.033058,            0.003829,             0.80866,             0.60576,             0.67614,             0.45503,            0.035905,              0.0311,            0.009623,            0.005161,            0.005161,            0.005161
                 133,            0.031847,            0.031517,           0.0037599,             0.85615,             0.61492,             0.68629,             0.45798,            0.035854,            0.031376,           0.0091627,           0.0051047,           0.0051047,           0.0051047
                 134,            0.032254,            0.033803,           0.0036631,             0.86536,             0.61748,             0.68136,             0.44493,             0.03531,             0.03101,           0.0094127,           0.0050484,           0.0050484,           0.0050484
                 135,            0.032597,            0.032373,           0.0039162,             0.82205,             0.60886,             0.69044,             0.43824,            0.035999,            0.031756,           0.0092738,           0.0049921,           0.0049921,           0.0049921
                 136,            0.032582,            0.032576,           0.0038465,              0.8119,             0.64145,             0.69325,             0.43864,            0.035381,            0.031171,           0.0093224,            0.004936,            0.004936,            0.004936
                 137,            0.032735,            0.031837,           0.0036724,              0.8817,             0.61859,             0.70076,             0.45779,            0.034917,            0.030424,           0.0090713,           0.0048799,           0.0048799,           0.0048799
                 138,             0.03259,            0.032028,           0.0037194,             0.87931,             0.60954,              0.6968,             0.47018,            0.035326,            0.031294,           0.0091792,            0.004824,            0.004824,            0.004824
                 139,            0.031378,            0.032115,           0.0039052,             0.84918,             0.62381,              0.7036,             0.45205,            0.035202,            0.030874,            0.009183,           0.0047681,           0.0047681,           0.0047681
                 140,            0.032433,            0.032226,           0.0039355,             0.83389,             0.61339,             0.70762,             0.45151,            0.035437,            0.031388,           0.0092085,           0.0047124,           0.0047124,           0.0047124
                 141,            0.030929,            0.029889,           0.0036995,             0.85382,             0.62464,             0.70081,             0.45497,             0.03539,            0.031338,           0.0092981,           0.0046568,           0.0046568,           0.0046568
                 142,            0.031694,            0.030713,           0.0036231,             0.85094,             0.62554,             0.69872,             0.45135,            0.035404,            0.031376,           0.0094583,           0.0046013,           0.0046013,           0.0046013
                 143,            0.031654,            0.031896,           0.0036797,             0.86323,             0.62252,             0.70264,             0.44586,            0.035712,             0.03179,           0.0094498,            0.004546,            0.004546,            0.004546
                 144,            0.031589,            0.031139,           0.0036965,             0.87724,             0.62343,              0.7073,             0.45306,            0.035255,            0.030948,           0.0093288,           0.0044908,           0.0044908,           0.0044908
                 145,            0.031313,            0.030456,           0.0037749,             0.87618,              0.6225,             0.71092,             0.47449,            0.035386,            0.031302,            0.008954,           0.0044358,           0.0044358,           0.0044358
                 146,            0.031368,            0.031298,           0.0035329,             0.85977,              0.6194,             0.70944,             0.43275,            0.035351,            0.031418,           0.0091563,           0.0043809,           0.0043809,           0.0043809
                 147,            0.030923,            0.030738,           0.0034162,             0.82305,              0.6191,             0.68674,             0.47088,            0.035397,            0.031538,           0.0095079,           0.0043262,           0.0043262,           0.0043262
                 148,            0.031835,            0.032031,           0.0032896,             0.85388,             0.60788,             0.69488,             0.44825,            0.035436,            0.031522,           0.0095712,           0.0042717,           0.0042717,           0.0042717
                 149,            0.031112,             0.02989,           0.0035737,             0.78236,             0.63009,             0.68325,             0.43771,             0.03573,            0.032368,           0.0094403,           0.0042174,           0.0042174,           0.0042174
                 150,            0.031634,            0.031374,           0.0033979,              0.8614,             0.60769,             0.68513,              0.4384,            0.035396,            0.032518,           0.0092853,           0.0041633,           0.0041633,           0.0041633
                 151,            0.031308,            0.030534,           0.0036479,             0.87257,             0.62294,             0.69185,             0.39848,             0.03546,            0.031536,           0.0096272,           0.0041094,           0.0041094,           0.0041094
                 152,            0.030623,            0.030867,           0.0032925,             0.85385,             0.62363,             0.71705,             0.45286,            0.035317,            0.031434,           0.0088931,           0.0040558,           0.0040558,           0.0040558
                 153,            0.031403,            0.030673,           0.0034377,             0.87892,              0.6253,             0.69843,             0.45599,            0.035231,            0.031378,           0.0086576,           0.0040023,           0.0040023,           0.0040023
                 154,            0.030615,            0.030817,           0.0033713,             0.83629,             0.63425,             0.68716,             0.46719,            0.035442,            0.031309,           0.0094207,           0.0039491,           0.0039491,           0.0039491
                 155,            0.030616,             0.03077,           0.0036696,             0.84673,             0.61264,             0.69451,             0.45185,            0.035248,            0.031727,           0.0091715,           0.0038961,           0.0038961,           0.0038961
                 156,            0.031336,            0.030233,            0.003234,             0.87719,             0.60072,              0.6858,             0.43696,             0.03579,            0.032628,           0.0088817,           0.0038434,           0.0038434,           0.0038434
                 157,            0.030218,            0.030179,           0.0035321,             0.87188,             0.62631,             0.68514,             0.45165,             0.03519,            0.031919,           0.0091951,            0.003791,            0.003791,            0.003791
